year,Washington,Illinois,California,Arizona,Massachusetts,Wisconsin,Texas,Nebraska,Utah,Oregon,Florida,NewYork,RhodeIsland,Georgia,NewHampshire,NorthCarolina,NewJersey,Colorado,Maryland,Nevada,Tennessee,Hawaii,Indiana,Kentucky,Minnesota,Oklahoma,Pennsylvania,SouthCarolina,DistrictofColumbia,Kansas,Missouri,Vermont,Virginia,Connecticut,Iowa,Louisiana,Ohio,Michigan,SouthDakota,Arkansas,Delaware,Mississippi,NewMexico,NorthDakota,Wyoming,Alaska,Maine,Alabama,Idaho,Montana,PuertoRico,VirginIslands,Guam,WestVirginia,NorthernMarianaIslands,AmericanSamoa
39,0.8571428571428571,0.0,2.5714285714285716,0.0,0.0,0.0,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.2857142857142858,0.14285714285714285,2.7142857142857144,0.0,0.0,0.0,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2.2857142857142856,0.14285714285714285,3.4285714285714284,0.0,0.0,0.0,1.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2.5714285714285716,0.2857142857142857,3.857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3.857142857142857,0.2857142857142857,4.857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6.0,0.2857142857142857,4.142857142857143,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.42857142857142855,1.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10.0,0.42857142857142855,5.857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.8571428571428571,0.0,0.0,0.2857142857142857,0.5714285714285714,3.142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11.285714285714286,0.5714285714285714,7.714285714285714,0.2857142857142857,1.0,0.0,1.1428571428571428,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.0,6.285714285714286,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.1428571428571428,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14.285714285714286,0.42857142857142855,10.285714285714286,0.5714285714285714,1.7142857142857142,0.0,1.1428571428571428,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.7142857142857142,12.714285714285714,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,0.5714285714285714,1.1428571428571428,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,17.714285714285715,0.5714285714285714,11.285714285714286,0.5714285714285714,3.857142857142857,0.0,1.7142857142857142,0.42857142857142855,0.2857142857142857,1.5714285714285714,1.5714285714285714,15.0,0.14285714285714285,1.5714285714285714,0.5714285714285714,0.2857142857142857,0.8571428571428571,1.1428571428571428,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,22.285714285714285,1.0,19.142857142857142,0.7142857142857143,5.571428571428571,0.14285714285714285,1.8571428571428572,0.42857142857142855,0.2857142857142857,1.5714285714285714,1.7142857142857142,20.142857142857142,0.14285714285714285,2.142857142857143,0.42857142857142855,1.0,1.5714285714285714,1.7142857142857142,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.14285714285714285,1.4285714285714286,1.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,1.1428571428571428,0.14285714285714285,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
